,Replicate,Sample,Control
1,MIA.Paca.2.311Cas9.Rep.A.p6_batch0,ACH-000601,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
2,MIA.Paca.2.311Cas9.Rep.B.p6_batch0,ACH-000601,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
3,MIA.Paca.2.311Cas9.Rep.C.p6_batch0,ACH-000601,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
4,MIA.Paca.2.311Cas9.Rep.D.p6_batch0,ACH-000601,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
5,NCI.H1792.311Cas9.Rep.A.p6_batch0,ACH-000496,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
6,NCI.H1792.311Cas9.Rep.B.p6_batch0,ACH-000496,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
7,NCI.H1792.311Cas9.Rep.C.p6_batch0,ACH-000496,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
8,NCI.H1792.311Cas9.Rep.D.p6_batch0,ACH-000496,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
9,ASPC.1.311Cas9.Rep.A.p6_batch0,ACH-000222,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
10,ASPC.1.311Cas9.Rep.C.p6_batch0,ACH-000222,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
11,ASPC.1.311Cas9.Rep.D.p6_batch0,ACH-000222,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
12,HUP.T3.311cas9.Rep.A.p6_batch0,ACH-000118,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
13,HUP.T3.311cas9.Rep.B.p6_batch0,ACH-000118,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
14,HUP.T3.311cas9.Rep.C.p6_batch0,ACH-000118,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
15,HUP.T3.311cas9.Rep.D.p6_batch0,ACH-000118,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
16,RERF.LC.Ad1.311Cas9.Rep.A.p5_batch0,ACH-000791,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
17,RERF.LC.Ad1.311Cas9.Rep.B.p5_batch0,ACH-000791,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
18,RERF.LC.Ad1.311Cas9.Rep.C.p5_batch0,ACH-000791,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
19,RERF.LC.Ad1.311Cas9.Rep.D.p5_batch0,ACH-000791,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
20,NCI.H1693.311Cas9.Rep.A.p4_batch0,ACH-000021,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
21,NCI.H1693.311Cas9.Rep.B.p4_batch0,ACH-000021,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
22,NCI.H1693.311Cas9.Rep.C.p4_batch0,ACH-000021,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
23,NCI.H1693.311Cas9.Rep.D.p4_batch0,ACH-000021,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
24,A549.311Cas9.Rep.A.p5_batch0,ACH-000681,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
25,A549.311Cas9.Rep.B.p5_batch0,ACH-000681,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
26,A549.311Cas9.Rep.C.p5_batch0,ACH-000681,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
27,A549.311Cas9.Rep.D.p5_batch0,ACH-000681,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
28,DAN.G.311Cas9.Rep.A.p6_batch0,ACH-000243,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
29,DAN.G.311Cas9.Rep.B.p6_batch0,ACH-000243,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
30,DAN.G.311Cas9.Rep.C.p6_batch0,ACH-000243,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
31,DAN.G.311Cas9.Rep.D.p6_batch0,ACH-000243,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
32,NCI.H2023.311Cas9.Rep.A.p6_batch0,ACH-000781,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
33,NCI.H2023.311Cas9.Rep.B.p6_batch0,ACH-000781,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
34,NCI.H2023.311Cas9.Rep.C.p6_batch0,ACH-000781,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
35,NCI.H2023.311Cas9.Rep.D.p6_batch0,ACH-000781,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
36,NCI.H23.311Cas9.Rep.A.p5_batch0,ACH-000900,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
37,NCI.H23.311Cas9.Rep.B.p5_batch0,ACH-000900,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
38,NCI.H23.311Cas9.Rep.C.p5_batch0,ACH-000900,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
39,NCI.H23.311Cas9.Rep.D.p5_batch0,ACH-000900,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
40,Panc.02.03.311cas9.Rep.A.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
41,Panc.02.03.311cas9.Rep.B.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
42,Panc.02.03.311cas9.Rep.C.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
43,Panc.02.03.311cas9.Rep.D.p6_batch0,ACH-000042,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
44,Panc.04.03.311Cas9.Rep.A.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
45,Panc.04.03.311Cas9.Rep.B.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
46,Panc.04.03.311Cas9.Rep.C.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
47,Panc.04.03.311Cas9.Rep.D.p5_batch0,ACH-000235,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
48,SNU.213.311Cas9.Rep.A.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
49,SNU.213.311Cas9.Rep.B.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
50,SNU.213.311Cas9.Rep.C.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
51,SNU.213.311Cas9.Rep.D.p5_batch0,ACH-000266,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
52,NCI.H1944.311cas9.Rep.A.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
53,NCI.H1944.311cas9.Rep.B.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
54,NCI.H1944.311cas9.Rep.C.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
55,NCI.H1944.311cas9.Rep.D.p5_batch0,ACH-000414,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
56,NCI.H2122.311cas9.Rep.A.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
57,NCI.H2122.311cas9.Rep.B.p5_batch0,ACH-000311,pDNA.Avana4_010115_1.5Ex_batch0:pDNA.Avana4_060115_1.5Ex_batch0
