"Cell
Model Passports
Identifier",Name,"Cosmic
Identifier",Tissue,"Cancer
Type","Microsatellite (MS)
instability (I) Status
= (S)table, (L)ow instability, (H)igh Instability",Whole Exome Sequencing Profiles,Copy Number Alteration Profiles,Transcriptional Profiles,Methylation Profiles,Drug Response Profiles,Transduction Efficiencty,Cas9 Activity,N of Replicates,Experiment Identifier,sgRNA library,"Replicate
Passing
Low Lev QC","CellLine
Passing
LowLev
QC","Hart Ess/nonEss.
AUROC","Hart Ess/nonEss.
AUPRRC","Ribosomal
proteins
Glass's Δ","Hart Essential genes
Glass's Δ","Hart
Non Essential genes
Glass's Δ","Passing High Level Quality Control Assessment 
(Analysis Set)"
SIDM00795,A375,906793,Skin,Melanoma,MSI-S,Y,Y,Y,Y,Y,"16.6, 16.6, 16.6, 16.6, 16.6, 16.6","97.5, 97.5, 97.5, 97.5, 97.5, 97.5",6,"A375_C902R1_P1D14, A375_C902R2_P1D14, A375_C902R3_P1D14, A375_c902R4, A375_c902R5, A375_c902R6","V1.0, V1.0, V1.0, V1.0, V1.0, V1.0","TRUE, TRUE, TRUE, TRUE, TRUE, TRUE",TRUE,0.928976605,0.752421726,3.709932003,1.594412487,9.602528371,TRUE
SIDM00789,HCT-15,905937,Large Intestine,Colorectal Carcinoma,MSI-H,Y,Y,Y,Y,Y,"23.7, 26.7, 23.7, 28, 27, 26.2","90.6, 90.6, 90.6, 90.6, 90.6, 90.6",6,"HCT15_C902R1_P1D14, HCT15_C902R2_P1D14, HCT15_C902R3_P1D14, HCT15_c902R4, HCT15_c902R5, HCT15_c902R6","V1.0, V1.0, V1.0, V1.0, V1.0, V1.0","FALSE, FALSE, FALSE, TRUE, TRUE, TRUE",TRUE,0.922105942,0.755026932,2.311132963,1.465566708,10.88903359,TRUE
SIDM00136,HT-29,905939,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,Y,Y,"29.2, 27, 26.5, 26.8, 25.9, 26","94.8, 94.8, 94.8, 94.8, 94.8, 94.8",6,"HT29_c904R1, HT29_c904R2, HT29_c904R3, HT29_c905R1, HT29_c905R2, HT29_c905R3","V1.0, V1.0, V1.0, V1.1, V1.1, V1.1","TRUE, TRUE, TRUE, TRUE, TRUE, TRUE",TRUE,0.9292026,0.9231572,2.783797,1.42698,13.67105,TRUE
SIDM01068,HCC-78,1290908,Lung,Lung Adenocarcinoma,MSI-S,Y,Y,Y,Y,Y,"18.1, 21.2, 20.8, 21.7","81.1, 81.1, 81.1, 81.1",4,"HCC78_c906R3, HCC78_c906R4, HCC78_c906R5, HCC78_c906R6","V1.1, V1.1, V1.1, V1.1","TRUE, TRUE, TRUE, TRUE",TRUE,0.905055249,0.873479192,2.555821042,1.429073582,5.516483071,TRUE
SIDM00841,SW620,905962,Large Intestine,Colorectal Carcinoma,MSI-S,Y,Y,Y,N,Y,"19.6, 20.8, 20.8, 23.6","98, 98, 98, 98",4,"SW620_C902R1_P1D14, SW620_C902R2_P1D14, SW620_C902R3_P1D14, SW620_c902R3D14","V1.0, V1.0, V1.0, V1.0","TRUE, TRUE, TRUE, TRUE",TRUE,0.917749213,0.741095536,3.197673436,1.453764731,9.799357935,TRUE
SIDM00499,22RV1,924100,Prostate,Prostate Carcinoma,MSI-H,Y,Y,Y,Y,Y,"34.2, 33.7, 33.6","92.6, 92.6, 92.6",3,"22RV1_c908R1, 22RV1_c908R2, 22RV1_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.918132039,0.890818646,2.410833861,1.505846872,5.755430962,TRUE
SIDM00980,23132-87,910924,Stomach,Gastric Carcinoma,MSI-H,Y,Y,Y,Y,Y,"58.7, 57, 57.8","76.7, 76.7, 76.7",3,"231328_c908R1, 231328_c908R2, 231328_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.936820729,0.922274704,3.215412203,1.788695829,6.317488033,TRUE
SIDM00803,769-P,910922,Kidney,Kidney Carcinoma,MSI-L,Y,Y,Y,Y,Y,"43.5, 45.3, 43.3","96.7, 96.7, 96.7",3,"769P_c908R1, 769P_c908R2, 769P_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.91754589,0.909160116,3.29711851,1.64625614,7.915554832,TRUE
SIDM00797,A2058,906792,Skin,Melanoma,MSI-S,Y,Y,Y,Y,Y,"NA, NA, NA","95, 95, 95",3,"A2058_c903R1, A2058_c903R2, A2058_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.921787434,0.753508907,3.0494,1.426623713,10.73946362,TRUE
SIDM00796,A253,906794,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"26.6, 24.8, 26","97.8, 97.8, 97.8",3,"A253_c908R1, A253_c908R2, A253_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924500261,0.909132724,2.905795408,1.478163296,8.237063676,TRUE
SIDM01211,A2780ADR,1287940,Ovary,Ovarian Carcinoma,NA,N,N,N,N,N,"21.5, 18.9, 19.6","77.3, 77.3, 77.3",3,"A2780A_c905R1, A2780A_c905R2, A2780A_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.93373494,0.925830105,3.203216171,1.580105396,11.80114575,TRUE
SIDM01212,A2780cis,1295736,Ovary,Ovarian Carcinoma,NA,N,N,N,N,N,"16.8, 16.8, 17.3","77.9, 77.9, 77.9",3,"A2780c_c905R1, A2780c_c905R2, A2780c_c905R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.922609459,0.911036318,2.950862677,1.568089256,8.374965592,TRUE
SIDM00900,ARH-77,906765,Haematopoietic and Lymphoid,Blood Non Cancerous,MSI-S,Y,Y,Y,Y,Y,"54.7, 53.4, 54.4","87.8, 87.8, 87.8",3,"ARH77_c907R01, ARH77_c907R02, ARH77_c907R03","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.935319432,0.922348991,3.809037928,1.706969473,8.939284238,TRUE
SIDM00899,AsPC-1,910702,Pancreas,Pancreatic Carcinoma,MSI-S,Y,Y,Y,Y,Y,"29.1, 32.8, 33","90.3, 90.3, 90.3",3,"AsPC1_c904R1, AsPC1_c904R2, AsPC1_c904R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.913419027,0.738484441,2.527953327,1.23371843,9.807570968,TRUE
SIDM00898,AU565,910704,Breast,Breast Carcinoma,MSI-S,Y,Y,Y,Y,Y,"23.8, 24.8, 25.8","80.3, 80.3, 80.3",3,"AU565_c903R1, AU565_c903R2, AU565_c903R3","V1.0, V1.0, V1.0","TRUE, TRUE, TRUE",TRUE,0.910089865,0.718162123,2.163751681,1.441843059,6.182423733,TRUE
SIDM00172,BB30-HNC,753531,Head and Neck,Head and Neck Carcinoma,MSI-S,Y,Y,Y,Y,Y,"18.5, 16.2, 19","92, 92, 92",3,"BB30HN_c908R1, BB30HN_c908R2, BB30HN_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.915851731,0.903383292,2.883124568,1.547332246,7.154604325,TRUE
SIDM01229,BE2-M17,753616,Peripheral Nervous System,Neuroblastoma,MSI-L,Y,Y,Y,Y,Y,"60.1, 68.2, 67","94.9, 94.9, 94.9",3,"BE2M17_c906R1, BE2M17_c906R2, BE2M17_c906R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.924337652,0.913363985,3.200734745,1.563742602,8.907471236,TRUE
SIDM00986,BHY,753535,Head and Neck,Oral Cavity Carcinoma,MSI-S,Y,Y,Y,Y,Y,"27.7, 30.5, 27.3","91.7, 91.7, 91.7",3,"BHY_c908R1, BHY_c908R2, BHY_c908R3","V1.1, V1.1, V1.1","TRUE, TRUE, TRUE",TRUE,0.921959023,0.907816422,2.536846492,1.450338872,8.546219002,TRUE
