,DRUG_DATASET,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_MEASUREMENTS,PVAL,SPEARMANR
0,GDSC1,185,Linsitinib,IGF1R,474,2.139403415615418e-26,0.46165930253685716
1,GDSC1,1047,Nutlin-3a (-),MDM2,511,2.618797365812902e-28,0.46143159318521915
2,GDSC1,1032,Afatinib,EGFR,510,4.064882644149168e-27,0.4525628363679622
3,GDSC2,1549,Sapitinib,EGFR,441,3.8816134068173957e-22,0.4383939589821943
4,GDSC1,1091,BMS-536924,IGF1R,493,1.2650589927931166e-21,0.4120141745471458
5,GDSC2,1560,Alpelisib,PIK3CA,442,3.6497320475289637e-19,0.40805938628272975
6,GDSC1,184,BMS-754807,IGF1R,470,2.58323487775745e-19,0.398247027884988
7,GDSC2,1047,Nutlin-3a (-),MDM2,433,1.6138978661005404e-17,0.39385578413739025
8,GDSC2,1510,Linsitinib,IGF1R,441,3.4695768407194207e-16,0.37515929448702556
9,GDSC2,1561,Taselisib,PIK3CA,442,3.592614303608631e-16,0.37458449259196647
10,GDSC2,1549,Sapitinib,ERBB2,441,1.1470137985945157e-15,0.3689373651558525
11,GDSC1,1032,Afatinib,ERBB2,510,1.228043204194784e-17,0.3662743349082239
12,GDSC1,1114,Cetuximab,EGFR,466,6.079509570119967e-16,0.3627905859849914
13,GDSC1,1010,Gefitinib,EGFR,508,4.464395461480863e-15,0.33841150489987476
14,GDSC2,1168,Erlotinib,EGFR,426,2.6641083606700413e-12,0.33029304079054855
15,GDSC2,1564,SCH772984,MAPK1,442,2.5249720257156844e-12,0.32488960161248037
16,GDSC2,1091,BMS-536924,IGF1R,426,1.4380442263081494e-11,0.31955334708346517
17,GDSC1,412,Venotoclax,BCL2,493,5.348474747556923e-13,0.31736490185195676
18,GDSC2,1849,Sabutoclax,MCL1,410,2.765386599507729e-10,0.30516329009951887
19,GDSC2,1915,AZD3759,EGFR,429,2.7231065951843226e-10,0.29871599819437245
20,GDSC1,1008,Methotrexate,DHFR,510,1.4449803506457693e-11,0.293166063691133
21,GDSC1,1016,Temsirolimus,MTOR,499,1.5557463787280825e-10,0.28139131274597384
22,GDSC2,1909,Venetoclax,BCL2,427,4.021454550381687e-09,0.27982603757985325
23,GDSC2,1010,Gefitinib,EGFR,426,4.444845320774549e-09,0.2793850082170943
24,GDSC2,1578,Leflunomide,DHODH,410,9.592880100108218e-09,0.27858975090027527
25,GDSC2,1997,WEHI-539,BCL2L1,426,6.302637323747615e-09,0.2767227860897303
26,GDSC2,1924,Ipatasertib,AKT1,426,7.2764950040679815e-09,0.275619153687797
27,GDSC2,1011,Navitoclax,BCL2L1,424,1.4160953251981436e-08,0.27105627317165326
28,GDSC1,1057,Dactolisib,MTOR,504,2.0321979209452548e-09,0.26298606287780163
29,GDSC2,1919,Osimertinib,EGFR,426,5.820995194477487e-08,0.2590652885490377
30,GDSC2,1529,Pevonedistat,NAE1,426,1.2684276252575605e-07,0.2525597558349131
31,GDSC2,1908,Ulixertinib,MAPK1,426,1.5800442067616782e-07,0.250692117992429
32,GDSC1,1054,Palbociclib,CDK6,488,2.852219413128453e-08,0.24795100037358742
33,GDSC2,1032,Afatinib,ERBB2,443,2.2135466984367904e-07,0.24311501372980596
34,GDSC2,1549,Sapitinib,ERBB3,441,2.40444138797713e-07,0.24294724882960178
35,GDSC2,1553,Uprosertib,AKT1,412,6.05718887358716e-07,0.24285760615033727
36,GDSC2,1053,MK-2206,AKT1,432,1.1072543351324825e-06,0.23185304657577638
37,GDSC1,1053,MK-2206,AKT1,487,2.589238127373848e-07,0.23085292048983247
38,GDSC2,1053,MK-2206,AKT2,432,1.2655994488978985e-06,0.23062746225754002
39,GDSC2,1932,NVP-ADW742,IGF1R,426,3.0350954240667545e-06,0.2239646558230773
40,GDSC2,1012,Vorinostat,HDAC2,428,3.155099599247956e-06,0.22307905056487867
41,GDSC2,1032,Afatinib,EGFR,443,2.2828965500653725e-06,0.22237868646048176
42,GDSC2,1912,Afuresertib,AKT1,426,4.4355522496247565e-06,0.22028883037860725
43,GDSC2,1786,AZD4547,FGFR1,429,5.294262115037809e-06,0.2178012381011729
44,GDSC1,1058,Pictilisib,PIK3CA,503,8.997189742016726e-07,0.21695825804045016
45,GDSC1,1011,Navitoclax,BCL2,509,8.935776935048323e-07,0.2157574952385546
46,GDSC2,1080,Paclitaxel,BCL2,427,7.184994089488525e-06,0.2152752581060131
47,GDSC1,1248,Daporinad,NAMPT,469,2.8401199066071673e-06,0.21425337655887042
48,GDSC1,1053,MK-2206,AKT2,487,2.7925508292182427e-06,0.21047883013602692
49,GDSC1,446,MIM1,MCL1,488,3.1993072849996e-06,0.20904153675952936
50,GDSC2,1996,MIM1,MCL1,426,1.542457428785111e-05,0.20774871019754013
51,GDSC2,1058,Pictilisib,PIK3CA,431,1.5086700189388861e-05,0.2067877419857671
52,GDSC1,252,WZ3105,ROCK2,498,3.379004639513272e-06,0.2064779239699248
53,GDSC1,228,AKT inhibitor VIII,AKT2,497,3.5045116371892698e-06,0.2063542350097476
54,GDSC2,1916,AZD5363,AKT1,426,2.068171434986693e-05,0.20468523775245495
55,GDSC1,180,Thapsigargin,ATP2A2,467,1.0324350124505316e-05,0.2025072172897301
56,GDSC2,1068,Obatoclax Mesylate,MCL1,410,4.026989416251704e-05,0.20131211877321423
57,GDSC1,428,Pemetrexed,TYMS,491,7.28497590404207e-06,0.20085916836557283
58,GDSC2,1910,ABT737,BCL2,425,3.170167770725212e-05,0.20037219990308108
59,GDSC1,166,FTI-277,FNTA,480,1.055741212327097e-05,0.19957345735007528
60,GDSC1,262,VX-11e,MAPK1,498,7.891995207101298e-06,0.19871917600685846
61,GDSC1,282,Pelitinib,EGFR,497,8.688596260223042e-06,0.1980163139740112
62,GDSC2,1912,Afuresertib,AKT2,426,4.356145391394182e-05,0.19669112068748074
63,GDSC1,206,Ruxolitinib,JAK1,500,1.333150417069774e-05,0.19338595754383017
64,GDSC2,1553,Uprosertib,AKT2,412,8.152647475307093e-05,0.19286398072151223
65,GDSC1,1059,AZD8055,MTOR,505,1.4343284143029582e-05,0.19174339794227874
66,GDSC2,1627,GSK343,EZH2,411,9.832607967052125e-05,0.1909221486091978
67,GDSC2,2096,VX-11e,MAPK1,422,9.79859534606172e-05,0.18848788571429487
68,GDSC2,1928,I-BRD9,BRD9,426,0.00010197302613607373,0.18715378093052046
69,GDSC2,1237,EPZ004777,DOT1L,441,7.928494307861823e-05,0.18680437209848977
70,GDSC2,1910,ABT737,BCL2L1,425,0.00011485997167330023,0.18599724875334137
71,GDSC2,1563,EPZ5676,DOT1L,441,0.00013000945738684443,0.18121500348391106
72,GDSC2,1916,AZD5363,AKT2,426,0.00019157818657492728,0.17976673929788956
73,GDSC1,344,THZ-2-49,CDK9,492,7.300961656454014e-05,0.17783779933121624
74,GDSC1,1042,Doramapimod,MAPK14,501,6.768823374385783e-05,0.1770382422406184
75,GDSC2,1849,Sabutoclax,BCL2,410,0.00032628263974368083,0.1766118659169923
76,GDSC2,1054,Palbociclib,CDK6,431,0.0002474529618218654,0.17566667865729
77,GDSC2,1049,PD173074,FGFR1,428,0.00026179506578602956,0.17559122354587348
78,GDSC1,1054,Palbociclib,CDK4,488,0.00012304935865071822,0.17295906998433166
79,GDSC2,1012,Vorinostat,HDAC1,428,0.00033439385721412336,0.17259024107499674
80,GDSC1,362,CI-1033,ERBB2,496,0.00012883311808160313,0.17107542616402227
81,GDSC1,230,GSK429286A,ROCK2,498,0.00012599425959666872,0.1709757300351351
82,GDSC2,1048,Mirin,MRE11,410,0.0005984793278149819,0.16880670928673128
83,GDSC1,363,PF-00299804,ERBB2,495,0.00020949951242319348,0.16589316173356922
84,GDSC1,1049,PD173074,FGFR1,510,0.00018382953724707695,0.1648911059431443
85,GDSC2,1011,Navitoclax,BCL2,424,0.0006678105094278857,0.1645958391385458
86,GDSC1,474,ARRY-520,KIF11,488,0.0002652881350807118,0.164390413446997
87,GDSC2,1939,UMI-77,MCL1,426,0.0006626488171583165,0.1643129364421825
88,GDSC2,1922,Cediranib,PDGFRB,426,0.0007065518054325393,0.16347690773377002
89,GDSC1,165,DMOG,EGLN1,478,0.0004861418634673139,0.1589508220281424
90,GDSC1,309,Y-39983,ROCK1,498,0.0004127007453596015,0.15767011951711235
91,GDSC2,1507,Ruxolitinib,JAK1,410,0.0014503606369023385,0.1567732081225654
92,GDSC1,345,KIN001-270,CDK9,498,0.00045593534149932164,0.1565046652904364
93,GDSC2,1558,Lapatinib,EGFR,427,0.0012321451054713433,0.15587519293792476
94,GDSC1,381,AST-1306,EGFR,490,0.0005423094939834745,0.15570255840894207
95,GDSC1,1266,ICL1100013,NMT1,488,0.000602507365803536,0.15475107496714852
96,GDSC2,1916,AZD5363,ROCK2,426,0.0016202897590573107,0.1522817910355091
97,GDSC1,438,Panobinostat,HDAC2,490,0.0007421169957495577,0.15190310527519646
98,GDSC2,2040,Foretinib,MST1R,425,0.0016953306501892836,0.15182676525300526
99,GDSC1,326,GSK690693,AKT2,497,0.0006961796246917915,0.15161225808015602
100,GDSC1,1373,Dabrafenib,BRAF,457,0.0011714439962811278,0.15136828124222057
101,GDSC2,1373,Dabrafenib,BRAF,427,0.0017574701621670512,0.1509689360307702
102,GDSC1,133,Doxorubicin,TOP2A,475,0.0011556214644393309,0.14866481169416468
103,GDSC1,245,UNC0638,EHMT1,495,0.0009821198766423098,0.1476865098681737
104,GDSC1,171,AKT inhibitor VIII,AKT2,478,0.0013086643748994663,0.14659712009556497
105,GDSC2,1559,Luminespib,HSP90AB1,442,0.002513623695530714,0.14339008741193995
106,GDSC1,171,AKT inhibitor VIII,AKT1,478,0.001850892581306646,0.14204235587910854
107,GDSC1,326,GSK690693,AKT1,497,0.0015561194582112566,0.14156626506024098
108,GDSC1,341,Selisistat,SIRT1,496,0.0016089253473957426,0.1412769874378234
109,GDSC2,1180,Dinaciclib,CDK9,411,0.004505478659385937,0.1398441969679423
110,GDSC1,1067,CCT007093,PPM1D,505,0.0017399716446155683,0.13901116819756512
111,GDSC2,1060,PD0325901,MAP2K2,443,0.003533360160821376,0.1383182361140136
112,GDSC1,1011,Navitoclax,BCL2L1,509,0.001824039990201113,0.13785851886970157
113,GDSC1,199,Pazopanib,PDGFRB,473,0.0026650412994796723,0.1378264516003199
114,GDSC2,1558,Lapatinib,ERBB2,427,0.005559876269634566,0.13396619952594377
