,DRUG_DATASET,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_MEASUREMENTS,PVAL,SPEARMANR
0,GDSC1,185,Linsitinib,IGF1R,474,9.106704334319885e-30,0.48827282164251334
1,GDSC1,1091,BMS-536924,IGF1R,493,8.982783067759333e-27,0.45669570491272
2,GDSC1,184,BMS-754807,IGF1R,470,1.5798036350641582e-24,0.4475355204694011
3,GDSC1,1032,Afatinib,EGFR,510,3.2844212735814504e-26,0.4453033381180877
4,GDSC1,1047,Nutlin-3a (-),MDM2,511,3.0544749678333733e-26,0.4451668081616207
5,GDSC2,1510,Linsitinib,IGF1R,441,4.091895749166374e-21,0.4284365494449528
6,GDSC2,1560,Alpelisib,PIK3CA,442,1.8958269903123583e-20,0.4213381132970639
7,GDSC2,1549,Sapitinib,EGFR,441,4.6373995170717423e-20,0.41781551781551785
8,GDSC2,1561,Taselisib,PIK3CA,442,7.091965109486573e-18,0.3941141658955647
9,GDSC2,1047,Nutlin-3a (-),MDM2,433,5.039584368738778e-17,0.38820317294764134
10,GDSC2,1549,Sapitinib,ERBB2,441,1.0951802919145756e-14,0.3568154534541089
11,GDSC2,1091,BMS-536924,IGF1R,426,7.616792121063169e-14,0.35165011282739833
12,GDSC1,1010,Gefitinib,EGFR,508,1.8032959214094005e-15,0.34299269716871
13,GDSC1,1032,Afatinib,ERBB2,510,4.101702712731146e-15,0.3382144310209484
14,GDSC1,1114,Cetuximab,EGFR,466,1.3925892117626968e-13,0.33368714797276483
15,GDSC2,1924,Ipatasertib,AKT1,426,2.0738397048966053e-12,0.33185302751901957
16,GDSC1,412,Venotoclax,BCL2,493,4.0567117853178157e-13,0.3189282121118589
17,GDSC1,1054,Palbociclib,CDK6,488,9.43472506314647e-13,0.31565653175874564
18,GDSC2,1168,Erlotinib,EGFR,426,3.290706510756389e-11,0.31411978136902424
19,GDSC2,1564,SCH772984,MAPK1,442,1.5904111620153286e-11,0.31334006080292853
20,GDSC2,1849,Sabutoclax,MCL1,410,1.1177440623165505e-10,0.31153723437364655
21,GDSC2,1553,Uprosertib,AKT1,412,4.896282693801937e-10,0.3003610426705044
22,GDSC2,1578,Leflunomide,DHODH,410,1.0043628687227206e-09,0.29581305093296506
23,GDSC1,1057,Dactolisib,MTOR,504,3.011890243413394e-11,0.2903555564303946
24,GDSC2,1529,Pevonedistat,NAE1,426,1.4952285626020428e-09,0.2875135480190691
25,GDSC2,1053,MK-2206,AKT1,432,3.3514793719600615e-09,0.27962314993924176
26,GDSC2,1915,AZD3759,EGFR,429,4.074118415308864e-09,0.2790974294125783
27,GDSC2,1909,Venetoclax,BCL2,427,1.0861457750057234e-08,0.27220716670175793
28,GDSC2,1912,Afuresertib,AKT1,426,1.1582032955346532e-08,0.2720148858435085
29,GDSC2,1997,WEHI-539,BCL2L1,426,1.2894719950032599e-08,0.2711748213485348
