,Algorithm,Dataset,nnmd,line
0,ComBat+QN,CCR-JACKS,-5.250007260624333,ACH-000004
1,ComBat+QN,CCR-JACKS,-4.271929215203048,ACH-000005
2,ComBat+QN,CCR-JACKS,-5.017655596678804,ACH-000011
3,ComBat+QN,CCR-JACKS,-5.515165948461743,ACH-000012
4,ComBat+QN,CCR-JACKS,-5.672069007236488,ACH-000013
5,ComBat+QN,CCR-JACKS,-5.234945014563929,ACH-000014
6,ComBat+QN,CCR-JACKS,-5.681350167437328,ACH-000015
7,ComBat+QN,CCR-JACKS,-4.943939711925006,ACH-000017
8,ComBat+QN,CCR-JACKS,-4.910468977975718,ACH-000018
9,ComBat+QN,CCR-JACKS,-4.684007340890428,ACH-000021
10,ComBat+QN,CCR-JACKS,-5.144336001914574,ACH-000022
11,ComBat+QN,CCR-JACKS,-5.6944613277929825,ACH-000025
12,ComBat+QN,CCR-JACKS,-5.454618175174706,ACH-000028
13,ComBat+QN,CCR-JACKS,-5.626985277160062,ACH-000029
14,ComBat+QN,CCR-JACKS,-5.120219847766574,ACH-000036
15,ComBat+QN,CCR-JACKS,-4.495604301008875,ACH-000037
16,ComBat+QN,CCR-JACKS,-4.486986945158785,ACH-000039
17,ComBat+QN,CCR-JACKS,-5.110063606776346,ACH-000040
18,ComBat+QN,CCR-JACKS,-4.278022543460015,ACH-000041
19,ComBat+QN,CCR-JACKS,-4.808738733993075,ACH-000045
20,ComBat+QN,CCR-JACKS,-5.666539255017257,ACH-000047
21,ComBat+QN,CCR-JACKS,-4.980935961455406,ACH-000052
22,ComBat+QN,CCR-JACKS,-5.201519904567264,ACH-000053
23,ComBat+QN,CCR-JACKS,-5.416480611360842,ACH-000054
24,ComBat+QN,CCR-JACKS,-5.084193719944346,ACH-000055
25,ComBat+QN,CCR-JACKS,-5.427027540001849,ACH-000070
26,ComBat+QN,CCR-JACKS,-4.005514881301286,ACH-000078
27,ComBat+QN,CCR-JACKS,-5.0967780205628275,ACH-000082
28,ComBat+QN,CCR-JACKS,-4.691347544827352,ACH-000085
29,ComBat+QN,CCR-JACKS,-5.316598016215353,ACH-000086
30,ComBat+QN,CCR-JACKS,-5.382309289264998,ACH-000087
31,ComBat+QN,CCR-JACKS,-4.9735828202793755,ACH-000092
32,ComBat+QN,CCR-JACKS,-4.590106017193481,ACH-000095
33,ComBat+QN,CCR-JACKS,-5.000097281921198,ACH-000096
34,ComBat+QN,CCR-JACKS,-5.14359039862055,ACH-000097
35,ComBat+QN,CCR-JACKS,-5.004108788336666,ACH-000099
36,ComBat+QN,CCR-JACKS,-4.177516892216765,ACH-000115
37,ComBat+QN,CCR-JACKS,-5.448516285488435,ACH-000116
38,ComBat+QN,CCR-JACKS,-5.57076547178574,ACH-000123
39,ComBat+QN,CCR-JACKS,-5.726740606006391,ACH-000127
40,ComBat+QN,CCR-JACKS,-4.876470862815264,ACH-000128
41,ComBat+QN,CCR-JACKS,-5.486607795337386,ACH-000133
42,ComBat+QN,CCR-JACKS,-5.422403285931525,ACH-000138
43,ComBat+QN,CCR-JACKS,-4.516613979569492,ACH-000141
44,ComBat+QN,CCR-JACKS,-5.233427062251597,ACH-000142
45,ComBat+QN,CCR-JACKS,-5.26194168354708,ACH-000143
46,ComBat+QN,CCR-JACKS,-4.936171973009689,ACH-000146
47,ComBat+QN,CCR-JACKS,-4.947279561020469,ACH-000150
48,ComBat+QN,CCR-JACKS,-4.961668035217879,ACH-000151
49,ComBat+QN,CCR-JACKS,-5.40093386718413,ACH-000152
50,ComBat+QN,CCR-JACKS,-4.490391302536629,ACH-000153
51,ComBat+QN,CCR-JACKS,-4.964260626978367,ACH-000159
52,ComBat+QN,CCR-JACKS,-4.750243977059325,ACH-000160
53,ComBat+QN,CCR-JACKS,-5.395389057437012,ACH-000163
54,ComBat+QN,CCR-JACKS,-3.9499777201865958,ACH-000167
55,ComBat+QN,CCR-JACKS,-4.46549078359661,ACH-000168
56,ComBat+QN,CCR-JACKS,-5.5317282087755935,ACH-000169
57,ComBat+QN,CCR-JACKS,-5.697580565614722,ACH-000178
58,ComBat+QN,CCR-JACKS,-5.5971404242078995,ACH-000182
59,ComBat+QN,CCR-JACKS,-4.3592480726787475,ACH-000187
60,ComBat+QN,CCR-JACKS,-5.327469678506569,ACH-000188
61,ComBat+QN,CCR-JACKS,-4.342578067114496,ACH-000189
62,ComBat+QN,CCR-JACKS,-4.836071730681359,ACH-000190
63,ComBat+QN,CCR-JACKS,-5.467211391300811,ACH-000198
64,ComBat+QN,CCR-JACKS,-3.862877433648486,ACH-000202
65,ComBat+QN,CCR-JACKS,-4.665179958935131,ACH-000206
66,ComBat+QN,CCR-JACKS,-4.684762326804706,ACH-000209
67,ComBat+QN,CCR-JACKS,-5.472403580427976,ACH-000211
68,ComBat+QN,CCR-JACKS,-5.306596877506901,ACH-000215
69,ComBat+QN,CCR-JACKS,-5.075652111397445,ACH-000217
70,ComBat+QN,CCR-JACKS,-4.949855178030801,ACH-000221
